values,type,l0,l1,l2,l3
"['', 'American Crossroads/Crossroads GPS', '', '', '', '', '', '', '', '', 'Carpenters & Joiners Union', '', '', 'Sierra Club', '', 'Carpenters & Joiners Union', '']",affiliate,Categorical,,,
"['Teamsters Union', '', '', 'Right to Life']",affiliate,,,,
"['DNC Services Corp', 'Democratic Congressional Campaign Cmte', 'Democratic Senatorial Campaign Cmte', 'Presidential Inaugural Cmte 2009', 'Democratic Party of Ohio', 'Michigan Democratic State Central Cmte', 'Democratic State Central Cmte/California', 'Democratic Executive Cmte of Florida', 'Democratic Party of Nevada', 'Democratic Party of Pennsylvania', 'Dollars for Democrats', 'Minnesota Democratic Farmer Labor Party', 'Democratic Party of Virginia', 'Democratic Cmte of New York State', 'Democratic Party of Wisconsin', 'Democratic Central Cmte of Washington', 'Indiana Democratic Congressional Victory Cmte', 'Democratic Party of Arizona', 'Democratic Party of Colorado', 'New Jersey Democratic State Cmte', 'Democratic State Central Cmte/Maryland', 'DNC/Travel Offset Account', 'Democratic State Cmte of Massachusetts', 'Democratic Party of North Carolina', 'Democratic Party of Iowa', 'Georgia Federal Elections Cmte', 'Kentucky State Dem Central Exec Cmte', 'Democratic Party of Illinois', 'Connecticut Democratic State Central Cmte', 'Democratic Properties Corp', 'Missouri Democratic State Cmte', 'Democratic Party of Arkansas', 'Democratic Party of Oregon', 'Democratic Party of South Carolina', 'Democratic Party of Texas', 'Democratic Party of New Hampshire', 'Philip A Hart Democratic Club', 'Nebraska Democratic State Central Cmte', 'North Dakota Democratic-Nonpartisan League Party', 'Democratic Party of Tennessee', 'Democratic Party of Oakland County', 'Democratic Party of New Mexico', 'Democratic State Central Cmte/Louisiana', 'Macomb County Democratic Cmte', 'Democratic Party of Delaware', 'Democratic Party of Kansas', 'Illinois Victory', 'State Democratic Exec Cmte of Alabama', 'Maine Democratic State Cmte', 'Democratic Party of Harris County', 'West Virginia State Democratic Exec Cmte', 'Democratic Party of Hawaii', 'Los Angeles County Democratic Central Cmte', 'Democratic Party of Alaska', 'Vermont State Democratic Cmte', 'Democratic Party of Montana', 'Democratic Cmte of Utah', 'Idaho State Democratic Party', 'Rhode Island Democratic State Cmte', 'Democratic Party of South Dakota', 'Democratic Party of Mississippi', 'Clinton Township Democratic Club', 'Fairfax County Democratic Cmte', 'Democratic Party of San Diego County', 'Democratic Party of Oklahoma', 'Wyoming State Democratic Central Cmte', 'Democratic Party Of Orange County', 'Montgomery County Democrat Central Cmte', 'Democratic Party Cmte Abroad', 'Association of State Democratic Chairs', 'San Francisco Democratic Central Cmte', 'Sacramento County Democratic Central Cmte', 'Democratic Party of IL/10th District', 'Monterey County Democratic Central Cmte', '15th Congressional District Democratic Org/Wayne', 'Santa Clara County United Demo Campaign', 'Santa Barbara County Democratic Central Cmte', 'Democratic Party of Dallas County', 'Davidson County Democratic Exec Cmte', 'Ventura County Democratic Central Cmte', 'Minnesota DFL House Caucus', 'Democratic Party of the District of Columbia', 'Sonoma County Democratic Central Cmte', 'Louisville-Jefferson County Dem Cmte', 'Illinois Democratic County Chairmen Assn', 'San Mateo County Democratic Central Cmte', 'Democratic Party of Santa Cruz County', 'Nebraska 2 Change Coalition', 'Democratic Party of San Fernando Valley', 'Washtenaw County Democratic Federal Acct', 'Alexandria Democratic Cmte', 'Howard County Democratic Central Cmte', 'Arlington Democratic Joint Fed Campaign', 'San Diego Democratic Club', '15th District Democratic Party', 'Mendocino County Democratic Central Cmte', 'Eighth District Democratic Cmte', 'Rico Democratic GOTV', 'Riverside County Democratic Central Cmte', 'First Congressional District Democratic Cmte', 'Yolo County Democratic Central Cmte', 'Allegeheny County Democratic Cmte', 'Placer County Democratic Central Cmte', 'Marin Democratic Central Committee', 'Newaygo County Democratic Executive Cmte', 'Fifth District Democratic Cmte', 'Alameda County Democratic Central Cmte', 'Second Congr Dist Democratic Party', 'Stanislaus County Dem Central Cmte', 'San Luis Obispo County Demo Central Cmte', 'Democratic Party of Allegheny County', '2008 National Democratic Convention Cmte', 'Democratic Federal Campaign Cmte of St Louis City', 'Democratic Party of Contra Costa County', 'Democratic Party of Saginaw County', 'Minnesota Senate Majority Caucus', 'Solano United-SCDCC', 'Democratic Party of Ottawa County', 'Grand Traverse County Democratic Cmte', 'Del Norte County Democratic Central Cmte', 'Official 12th District Democratic Party', 'Democrats of Napa Valley Club', 'Potter-Randall County Democratic Club', 'Montgomery County Democratic Cmte', 'Democratic Central Cmte of Lake County', 'Chico Democrats', 'Fourth District Breakfast Club', 'Auburn Area Democratic Club', 'Beaver County Democratic Cmte', '11th Congressional District Democratic Cmte of VA', 'San Bernardino County Dem Central Cmte', 'Democratic Party of Marquette County', 'First District Congressional Democratic Iowa', 'Western Washtenaw Democrats Federal Acct', 'Fourth District Democratic Central Cmte', 'Tenth Cong District Democratic Cmte of Virginia', 'Democratic Party of Hillsdale County', 'Democratic Party Cmte of Manatee', 'Federal 7th Congressional District DFL', 'Democratic HQ of West San Gabriel Valley', 'Greater Oxnard Organization of Democrats', 'Lycoming County Democratic Cmte', 'Democratic Party of Nez Perce County', 'Democratic Women of Grayson County', 'Iowa 2nd Dist Democratic Central Cmte', 'Salinas Valley Democratic Club', 'Metropolitan Grtr Oakland Democrat Club', 'Manistee County Democratic Cmte', 'Alhambra Democratic Club', 'Pike County Democratic Cmte', 'Kent County Democratic Executive Cmte', 'Minnesota 2nd District DFL', 'El Dorado County Democratic Central Cmte', 'Third Congressional District Democratic Cmte', 'Sixth District Democratic Party of Wisconsin', 'Merced County Democratic Central Cmte', 'IDP5 Federal', 'California College Democrats', 'Progressive Dems/Santa Monica Mountains', 'Mark Twain Democratic Club', 'Tompkins County Democratic Cmte', 'Riverview Democratic Club', 'Culpeper County Democratic Cmte', 'Democratic Party of Jefferson County', 'Iowa 3rd Congressional Dist Dem Cmte', 'Kennebunkport Democratic Cmte', 'Third Congr District Democratic Party of Wisconsin', 'United Democrats San Gabriel Valley', 'Democratic Party of 2nd Cong District of Wisconsin', 'Democratic Club of Moreno Valley', 'West Newbury Democratic Town Cmte', 'Democrats Abroad Belgium', 'Newbury Democratic Town Cmte', 'North Fulton Democrats', 'Davis Democratic Club', 'Hays County Democratic Party Exec Cmte', 'Kennebunk Democratic Cmte', 'Menifee Perris Valley Democratic Club', 'Fifth Congressional District Democratic Party', 'Loudoun County Democratic Cmte', 'El Moro Democratic Club', 'Iranian American Democrats of Los Angele', 'Leelanau County Democratic Cmte', 'East San Gabriel Valley Democratic Club', '4TH WARD DEMOCRATIC ORGANIZATION', 'Cleveland Stonewall Democrats', '6th Congr Dist Demo Cmte of Virginia', 'Sixth District Michigan Democratic Political Actio', 'Bradford Democratic Executive Cmte', 'Fourth Congressional District Democratic Cmte', 'Fresno County Democratic Central Cmte', 'African American Caucus of NC Dem Party']",affiliate,,,,
"['', 'Right to Life']",affiliate,,,,
"['Democratic Party of Virginia', 'Fairfax County Democratic Cmte', '11th Congressional District Democratic Cmte of VA', 'Arlington Democratic Joint Fed Campaign', 'Alexandria Democratic Cmte', 'Eighth District Democratic Cmte', 'Tenth Cong District Democratic Cmte of Virginia', 'Loudoun County Democratic Cmte']",affiliate,,,,
"['', '', '', 'National Rifle Assn']",affiliate,,,,
"['', '', '', '', '', '', '', '', '', 'Joseph Crowley (D-NY)', '', '', '', '', '']",affiliate,,,,
"['Buck Mckeon (R-Calif)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",affiliate,,,,
"['', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Loretta Sanchez (D-CA)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",affiliate,,,,
"['', '', 'Eric Cantor (R-Va)', 'Mike Crapo (R-Idaho)', 'John Thune (R-SD)', '', 'Orrin G. Hatch (R-Utah)', '', '', '', '', '', '', '', '', '']",affiliate,,,,
"['Commission on Security & Cooperation in Europe', 'Transatlantic Legislative Group on Counterterrorism', 'U.S. Commission on International Religious Freedom', 'George Washington University', 'Coptic Solidarity']",affiliation,Categorical,,,
"['Commission on Security and Cooperation in Europe', 'Commission on Security and Cooperation in Europe', 'National Endowment for Democracy', 'The National Committee on North Korea', 'Amnesty International']",affiliation,,,,
"['Commission on Security and Cooperation in Europe', 'International Commission on Missing Persons', 'INTERPOL Washington', 'Voice of America', 'Missing Persons Institute of Bosnia and Herzegovina']",affiliation,,,,
"['Commission on Security and Cooperation in Europe', 'International Commission on Missing Persons', 'INTERPOL Washington', 'Voice of America', 'Missing Persons Institute of Bosnia and Herzegovina']",affiliation,,,,
"['Commission on Security and Cooperation in Europe', 'Commission on Security and Cooperation in Europe', 'Commission on Security and Cooperation in Europe', 'Population, Refugees and Migration, U.S. Department of State', 'UNHCR Washington Regional Office', 'Coalition for a Democratic Syria', 'Refugees International', '', 'Syrian American Medical Society', '']",affiliation,,,,
"['Government of Moldova', 'Window on Eurasia', 'American Foreign Policy Council']",affiliation,,,,
"['Keck Graduate Institute for Applied Life Sciences', 'Department of Mathematica, Chicago State University', 'Mathematics, The Ohio State University', 'Biosciences Division, Argonne National Laboratory', 'Ecology, Evolution, and Behaviour, University of Auckland', 'Department of Microbiology, University of New Hampshire', 'Computational Science & Engineering Center, University of California, Davis', 'Department of Genetics, Wageningen University and Research Center', 'Mathematical Biosciences Institute, The Ohio State University', 'Mathematical Biosciences Institute, The Ohio State University', 'Department of Zoology, University of British Columbia', 'Virus Diversity and Evolution Group, IBMCP (CSIC-UPV)', 'Mathematics Department, University of California, Irvine', 'Instituto de Fisica se Sao Carlos, Universidade de Sao Paulo', 'Self-employed', 'Centre National de Recherche Scientifique, UMR-385 INRA-ENSAM-CIRAD', ""Mathematics and Statistics, St. John's University"", 'NIDDK, Indian Institute of Science Education and Research', 'Mathematics, Shenandoah University', 'Independent Researcher', 'Biology, Pennsylvania State University', 'Department of Statistics, The Ohio State University', 'Department of Mathematics, Ohio University', 'School of Computing Sciences, University of East Anglia', 'Division of Hematology Oncology, University of Alabama at Birmingham', 'Mathematical Biosciences Institute, The Ohio State University', 'Department of Statistics, The Ohio State University', 'Department of Mathematics, The Ohio State University', 'Evolution, Ecology, and Organismal Biology, The Ohio State University', 'Pacific Ecoinformatics & Computational Ecology Lab', 'Organismic and Evolutionary Biology, Harvard University', 'Department of Biology, Duke University', 'Mathematical Biosciences Institute, The Ohio State University', 'Medical Microbiology and Immunology, Medical University of Ohio', 'Computer Science and Engineering, Michigan State University', 'Electrical and Computer Engineering, The Ohio State University', 'Department of Physics, Denison University', 'Bauer Center for Genomics Research, Harvard University', 'Independent Researcher, Museo Paleontologico E. Feruglio', 'Computational Biology, Keck Graduate Institute for Applied Life Sciences', 'Department of Biology, University of Louisville', 'Department of Statistics, University of New Mexico', 'Lab of Experimental & Computational Biology, National Cancer Institute', 'Department of Mathematics, Western Kentucky University', 'Bioinformatics, Biology, & Biomedical Engineering, Boston University', 'Department of Biological Sciences, Chicago State University', 'Department of Mathematics, Cleveland State University', 'Department of Mathematics, Southern Methodist University', 'Department of Chemistry, Ben-Gurion University of the Negev', 'Mathemathics Department, The Ohio State University', 'Mathematical Biosciences Institute, The Ohio State University', 'Computer Science and Engineering, Michigan State University', 'Department of Ecology, Evolution and Behavior, University of Minnesota - Twin Cities', 'Ecology and Evolutionary Biology, Yale University', 'Mathematics & Computer Sc, Capital University', 'Department of Statistics, The Ohio State University', 'Integrated Information Sciences, Novartis', 'Keck Graduate Institute for Applied Life Sciences', 'Department of Microbiology, The Ohio State University', 'Staff Scientist, National Institutes of Health', 'Department of Mathematics, Northern Michigan University']",affiliation,,,,
"['U.S. Commission on Security and Cooperation in Europe', 'U.S. Commission on Security and Cooperation in Europe', 'U.S. Department of State', 'U.S. Department of State', 'National Endowment for Democracy', 'Georgetown University']",affiliation,,,,
"['JAM', 'adidas']",affiliation,,,,
"['Commission on Security and Cooperation in Europe', 'Commission on Security and Cooperation in Europe', 'Commission on Security and Cooperation in Europe', 'Population, Refugees and Migration, U.S. Department of State', 'UNHCR Washington Regional Office', 'Coalition for a Democratic Syria', 'Refugees International', '', 'Syrian American Medical Society', '']",affiliation,,,,
"[24, 24, 24, 24, 24, 26, 26, 26, 26, 26]",age,Numeric,Embedded Number,Categorical,
"[24, 28]",age,,,,
"['0/6M', '6/12M', '12/24M']",age,,,,
"[22, 26]",age,,,,
"[4, 5, 4, 5, 7, 7]",age,,,,
"[22, 23, 21, 24, 24, 24, 23, 24, 23, 20]",age,,,,
"['12M', '18M', '24M']",age,,,,
"['0/3M', '3/6M', '6/9M']",age,,,,
"[6, 5]",age,,,,
"['70', '87', '85', '76', '75', '66', '80', '91', '66', '82', '85', '70', '66', '86', '86', '54-55', '64-65', '74', '90', '84', '70', '57', '78', '62', '86', '76', '69', '74', '84', '67', '84', '67', '81', '75', '9', '63', '90', '68', '81', '83', '87', '74', '83', '96', '70', '78', '73-74', '68', '77', '68', '79', '84', '91', '71', '81', '87', '70', '60', '76', '88-89', '70', '67', '71', '64', '69', '56', '71', '85', '67', '79', '86', '76', '62', '61', '78', '85', '100', '91', '66', '93', '75', '70', '70', '78', '74', '85', '66', '81', '73', '85', '74', '79', '89', '49', '82', '66', '66', '91', '62', '70', '70', '86', '82-83', '90', '74', '70', '70', '79', '72', '51', '72', '60', '100', '72-73', '89', '84-85', '73', '55', '82', '71', '70', '78-79', '78', '88', '90', '74', '81', '87', '87', '77', '83', '74', '63', '63', '68', '68', '73', '80', '73', '77', '80', '64', '69', '94', '53', '74', '75', '66', '79', '74', '76', '71', '78', '102', '67', '96', '80', '73', '80', '92', '56', '87', '1', '78-79', '83', '71', '82', '83', '81', '91', '77', '66', '60', '47', '93', '86', '80', '73', '88', '64', '76', '72', '64-65', '72', '83', '80-81', '77', '73', '52', '54-55', '66', '54', '74', '70', '79', '80', '78', '17', '68', '85', '62', '']",age,,,,
"['Need for Speed (Original Motion Picture Soundtrack)', 'Need for Speed (Original Motion Picture Soundtrack)', 'Need for Speed (Original Motion Picture Soundtrack)', 'Act of Valor (Original Motion Picture Score)', 'Need for Speed (Original Motion Picture Soundtrack)', 'Act of Valor (Original Motion Picture Score)', 'Act of Valor (Original Motion Picture Score)', 'Need for Speed (Original Motion Picture Soundtrack)', 'Act of Valor (Original Motion Picture Score)', 'Need for Speed (Original Motion Picture Soundtrack)']",album,Context-Specific,,,
"['Parole in circolo (Special Edition)', '#PRONTOACORRERESPAIN - EP', '#PRONTOACORRERESPAIN - EP', '#PRONTOACORRERE (Special Edition)', '#PRONTOACORRERE (Special Edition)']",album,,,,
"['LOVE? (Deluxe Edition)', 'Dance Again... The Hits (Deluxe Version)', 'LOVE? (Deluxe Edition)', 'LOVE? (Deluxe Edition)', 'Live It Up (feat. Pitbull) - Single']",album,,,,
"['Jerangkung Dalam Almari', 'Taman Rashidah Utama', 'Back To The Egg', 'Bro Pian', 'Back To The Egg', 'Memory Hit Wings (Disc 1)', 'Jerangkung Dalam Almari', 'MENCARI ASAL-USUL', 'Wings Over America', 'Mencari Asal-usul', 'Joe Malay Jukebox', 'THE BEST OF WINGS', 'Puisi Aidilfitri', 'Keunggulan', 'Bazooka Penaka', '', 'Orang Asing', 'wings', 'Wild Life', '2011-07-09 2254', '', 'Unknown Album', '3 Kumpulan Rock Hebat', 'Double Trouble II', 'Wings At The Speed Of Sound', 'Terunggul (Disc 2)', 'Belenggu Irama', 'Wings & Search The Greatest Hits (Vol.II)', 'Naga Kramat (Awie)', 'Bro Pian', 'Wild Life', 'Wingspan', 'Wings Over America', 'Wingspan', 'Wings Over America', 'Wings Over America', 'Wingspan', 'Wings Over America', 'Wingspan', 'Wings Over America', 'Wings Over America', 'Wings Over America', 'Wings Over America', 'Wings Over America', 'Wings Over America', '4 Lagenda Kumpulan Rock Terbai', 'Wings Over America', 'London Town', 'London Town', 'Wings Over America']",album,,,,
"['My Type of Party - Single', 'Get Home Safely', 'Get Home Safely', 'Get Home Safely', 'II - From the Westside, With Love', 'II - From the Westside, With Love', 'Represent (I Like That) - Single', 'II - From the Westside, With Love', 'Get Home Safely', 'By Dom Kennedy']",album,,,,
"['delicious and delightful', 'the cookers warriors', 'spiral', 'modern romance', 'detour ahead', 'back home', 'imaginary numbers', 'duke on the air from the blue note in chicago 1952', 'lennie tristano 1955', ""silver's seranade"", ""live 1952 at chicago's blue note"", 'a night at the village vanguard', 'dianne reeves', 'works for me', 'the standard bearer', 'expansions', 'with love', 'reaching fourth']",album,,,,
"['Canti di a liberta (A me tarra)', ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu"", ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu"", ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu"", ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu"", ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu"", ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu"", ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu"", ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu"", ""Sò elli scrittori di a storia / Resistenza testimone à l'eternu""]",album,,,,
"['Sentimental Journey', 'Beaucoups of Blues', 'Ringo', 'Goodnight Vienna', ""Ringo's Rotogravure"", 'Ringo the 4th', 'Bad Boy', 'Stop and Smell the Roses', 'Old Wave', 'Time Takes Time', 'Vertical Man', 'I Wanna Be Santa Claus', 'Ringo Rama', 'Choose Love', 'Liverpool 8', 'Y Not', 'Ringo 2012', 'Postcards from Paradise']",album,,,,
"['The Darkened Room', 'The Darkened Room', 'The Darkened Room', 'Everlasting Instant', 'Everlasting Instant', 'Red Rain - Single', 'Places to Hide - Single', 'Ampersand, Volume 1', 'Crush of Night', 'Sliver of a Sun']",album,,,,
"['evergreen ragas', 'the yelm sessions', 'the yelm sessions', 'black pastels', '12 songs', '12 songs', 'the intercontinentals', 'the story of iceland', 'richter 858', 'green', 'orchestra dim bridges', 'orchestra dim bridges']",album,,,,
"['United States', 'Alaska', 'Oregon', 'North Dakota', 'Texas', 'Colorado', 'Idaho', 'Washington', 'Nebraska', 'California', 'Florida', 'New Mexico', 'Utah', 'New Hampshire', 'Georgia', 'Kentucky', 'Rhode Island', 'South Carolina', 'Massachusetts', 'Arizona', 'Vermont', 'Michigan', 'Montana', 'Wyoming', 'Ohio', 'Nevada', 'Oklahoma', 'Hawaii', 'New York', 'Delaware', 'Washington, D.C.', 'Tennessee', 'North Carolina', 'Pennsylvania', 'Wisconsin', 'Maryland', 'Minnesota', 'Louisiana', 'Alabama', 'Arkansas', 'Connecticut', 'New Jersey', 'Maine', 'Kansas', 'West Virginia', 'Missouri', 'Virginia', 'Indiana', 'Illinois', 'South Dakota', 'Iowa', 'Mississippi']",area,Numeric,Categorical,,
"['City of London', 'Barking and Dagenham', 'Barnet', 'Bexley', 'Brent', 'Bromley', 'Camden', 'Croydon', 'Ealing', 'Enfield', 'Greenwich', 'Hackney', 'Hammersmith and Fulham', 'Haringey', 'Harrow', 'Havering', 'Hillingdon', 'Hounslow', 'Islington', 'Kensington and Chelsea', 'Kingston upon Thames', 'Lambeth', 'Lewisham', 'Merton', 'Newham', 'Redbridge', 'Richmond upon Thames', 'Southwark', 'Sutton', 'Tower Hamlets', 'Waltham Forest', 'Wandsworth', 'Westminster', 'North East', 'North West', 'Yorkshire and The Humber', 'East Midlands', 'West Midlands', 'East', 'London', 'South East', 'South West', 'England', 'Wales', 'Scotland', 'Northern Ireland', 'United Kingdom']",area,,,,
"[512, 192, 128, 128, 128]",area,,,,
"['Dreamyard', 'Dreamyard', 'Dreamyard (B1f)', 'P2 Laboratory', 'Route 1', 'Route 1', 'Route 2', 'Route 3', 'Route 3', 'Route 7', 'Route 7', 'Route 18', 'Route 18']",area,,,,
"['Desert Resort (Entrance)', 'Desert Resort', 'Relic Castle (C)', 'Relic Castle (A)', 'Route 4']",area,,,,
"['Dreamyard', 'Pinwheel Forest (Outside)', 'Pinwheel Forest (Inside)', 'Cold Storage', 'Dragonspiral Tower (Entrance)', 'Dragonspiral Tower (Outside)', 'Giant Chasm (Outside)', 'Giant Chasm (Forest)', 'Abundant Shrine', 'Village Bridge', 'Lostlorn Forest', 'P2 Laboratory', 'Route 1', 'Route 2', 'Route 3', 'Route 5', 'Route 6', 'Route 7', 'Route 9', 'Route 10 (Victory Road Gate)', 'Route 10', 'Route 11', 'Route 12', 'Route 13', 'Route 14', 'Route 15', 'Route 16', 'Route 18']",area,,,,
"['Ohio', 'Ohio not seasonally adjusted', 'U.S.', 'U.S. not seasonally adjusted']",area,,,,
"['Route 5', 'Route 5', 'Route 16', 'Route 16']",area,,,,
